transaction_id,store_id,product_id,customer_id,quantity,price,sale_timestamp,region,payment_mode
1,101,5001,9001,2,1200,2026-04-12 10:30:00,West,UPI
2,102,5002,9002,1,800,2026-04-12 11:00:00,North,Card
3,101,5003,9003,3,1500,2026-04-12 11:15:00,West,Cash
4,103,5004,9004,1,500,2026-04-12 12:00:00,South,UPI
5,102,5001,9005,2,1200,2026-04-12 12:30:00,North,Card
6,101,5002,9006,1,800,2026-04-12 13:00:00,West,UPI
7,104,5005,9007,4,2000,2026-04-12 13:30:00,East,Cash
8,103,5001,9008,2,1200,2026-04-12 14:00:00,South,Card
9,102,5003,9009,1,1500,2026-04-12 14:30:00,North,UPI
10,104,5004,9010,3,500,2026-04-12 15:00:00,East,Cash
