transaction_id,customer_id,product_id,quantity,price,region
1,101,P100,2,500,West
2,102,P101,1,1200,East
3,103,P102,-1,700,North
4,,P103,3,450,South
5,104,P104,0,300,West
6,105,P105,5,-200,East
7,106,P106,2,800,North
7,106,P106,2,800,North
8,107,P107,1,1500,South
9,108,P108,4,650,West
10,109,P109,3,900,East
11,110,P110,2,400,West
12,111,P111,5,300,North
13,112,P112,1,1000,South
14,113,P113,2,750,East
15,,P114,1,500,West
16,115,P115,3,0,North
17,116,P116,2,650,East
18,117,P117,-2,450,South
19,118,P118,4,1200,West
20,119,P119,1,300,East
21,120,P120,2,700,North
22,121,P121,5,150,South
23,122,P122,3,850,West
24,123,P123,0,900,East
25,124,P124,4,1100,North
26,125,P125,1,450,South
27,126,P126,2,-100,West
28,127,P127,3,600,East
29,128,P128,2,1300,North
30,129,P129,1,250,South
31,130,P130,5,500,West
32,131,P131,2,800,East
33,,P132,3,950,North
34,133,P133,1,400,South
35,134,P134,4,1400,West
36,135,P135,2,650,East
37,136,P136,-1,300,North
38,137,P137,3,1200,South
39,138,P138,2,1000,West
40,139,P139,1,700,East
41,140,P140,5,450,North
42,141,P141,2,600,South
43,142,P142,0,750,West
44,143,P143,3,850,East
45,144,P144,1,1100,North
46,145,P145,2,500,South
47,146,P146,4,900,West
48,147,P147,3,-250,East
49,148,P148,2,1300,North
50,149,P149,1,650,South
51,150,P150,2,400,West
52,151,P151,5,300,East
53,152,P152,1,1000,North
54,153,P153,2,750,South
55,154,P154,3,500,West
56,155,P155,1,0,East
57,,P156,2,650,North
58,157,P157,4,450,South
59,158,P158,1,1200,West
60,159,P159,2,300,East
61,160,P160,3,700,North
62,161,P161,5,150,South
63,162,P162,2,850,West
64,163,P163,1,900,East
65,164,P164,4,1100,North
66,165,P165,2,-450,South
67,166,P166,3,600,West
68,167,P167,2,1300,East
69,168,P168,1,250,North
70,169,P169,5,500,South
71,170,P170,2,800,West
72,171,P171,3,950,East
73,172,P172,1,400,North
74,173,P173,4,1400,South
75,174,P174,2,650,West
76,175,P175,-1,300,East
77,176,P176,3,1200,North
78,177,P177,2,1000,South
79,178,P178,1,700,West
80,179,P179,5,450,East
81,180,P180,2,600,North
82,181,P181,3,750,South
83,,P182,1,850,West
84,183,P183,2,1100,East
85,184,P184,4,500,North
86,185,P185,3,900,South
87,186,P186,2,1300,West
88,187,P187,1,650,East
89,188,P188,2,400,North
90,189,P189,5,300,South
91,190,P190,1,1000,West
92,191,P191,2,750,East
93,192,P192,3,500,North
94,193,P193,1,0,South
95,194,P194,2,650,West
96,195,P195,4,450,East
97,196,P196,1,1200,North
98,197,P197,2,300,South
99,198,P198,3,700,West
100,199,P199,5,150,East
